id,question,law_name,article,new_id
b420e109-aaf2-45cc-8a61-b6bc8fc894d9,What are the penalties for individuals who violate smoking regulations intended to protect the public from tobacco products?,Кодекс Кыргызской Республики о правонарушениях,"Статья 84. Нарушение правил защиты населения от вредного влияния табачных изделий
Нарушение правил обязательного отвода мест для курящих, требований о размещении наглядной информации о местах курения или оборудования таких мест -
влечет наложение штрафа на физических лиц в размере 50 расчетных показателей, на юридических лиц - 500 расчетных показателей.
(В редакции Закона КР от 28 февраля 2024 года № 61)",73bf1577-4d39-4f39-a753-3f54e9533735
b420e109-aaf2-45cc-8a61-b6bc8fc894d9,How much is the fine for legal entities that fail to comply with the rules regarding designated smoking areas?,Кодекс Кыргызской Республики о правонарушениях,"Статья 84. Нарушение правил защиты населения от вредного влияния табачных изделий
Нарушение правил обязательного отвода мест для курящих, требований о размещении наглядной информации о местах курения или оборудования таких мест -
влечет наложение штрафа на физических лиц в размере 50 расчетных показателей, на юридических лиц - 500 расчетных показателей.
(В редакции Закона КР от 28 февраля 2024 года № 61)",73bf1577-4d39-4f39-a753-3f54e9533735
b420e109-aaf2-45cc-8a61-b6bc8fc894d9,What specific actions are considered violations of the tobacco-related public health regulations as outlined in the legislation?,Кодекс Кыргызской Республики о правонарушениях,"Статья 84. Нарушение правил защиты населения от вредного влияния табачных изделий
Нарушение правил обязательного отвода мест для курящих, требований о размещении наглядной информации о местах курения или оборудования таких мест -
влечет наложение штрафа на физических лиц в размере 50 расчетных показателей, на юридических лиц - 500 расчетных показателей.
(В редакции Закона КР от 28 февраля 2024 года № 61)",73bf1577-4d39-4f39-a753-3f54e9533735
f50238b0-f986-4d21-9074-da3b56200c6f,What types of crimes are classified based on their severity in the law?,Уголовный кодекс Кыргызской Республики,"Статья 19. Классификация преступлений
 
1. Преступления в зависимости от характера и степени общественной опасности подразделяются на преступления небольшой тяжести, менее тяжкие, тяжкие и особо тяжкие.
2. Тяжесть преступления определяется максимальным сроком наказания, предусмотренного санкцией статьи:
1) к преступлениям небольшой тяжести относятся умышленные и неосторожные преступления, за которые наказание в виде лишения свободы не предусмотрено;
2) к менее тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок не свыше пяти лет, а также неосторожные преступления, за которые предусмотрено наказание в виде лишения свободы на срок не свыше десяти лет;
3) к тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок более пяти лет, но не свыше десяти лет;
4) к особо тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок свыше десяти лет или пожизненное лишение свободы.
 ",193b9b81-da66-469e-b7fc-cc37cb657c77
f50238b0-f986-4d21-9074-da3b56200c6f,How is the severity of a crime determined according to the legislation?,Уголовный кодекс Кыргызской Республики,"Статья 19. Классификация преступлений
 
1. Преступления в зависимости от характера и степени общественной опасности подразделяются на преступления небольшой тяжести, менее тяжкие, тяжкие и особо тяжкие.
2. Тяжесть преступления определяется максимальным сроком наказания, предусмотренного санкцией статьи:
1) к преступлениям небольшой тяжести относятся умышленные и неосторожные преступления, за которые наказание в виде лишения свободы не предусмотрено;
2) к менее тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок не свыше пяти лет, а также неосторожные преступления, за которые предусмотрено наказание в виде лишения свободы на срок не свыше десяти лет;
3) к тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок более пяти лет, но не свыше десяти лет;
4) к особо тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок свыше десяти лет или пожизненное лишение свободы.
 ",193b9b81-da66-469e-b7fc-cc37cb657c77
f50238b0-f986-4d21-9074-da3b56200c6f,What distinguishes a less serious crime from a serious crime under this classification system?,Уголовный кодекс Кыргызской Республики,"Статья 19. Классификация преступлений
 
1. Преступления в зависимости от характера и степени общественной опасности подразделяются на преступления небольшой тяжести, менее тяжкие, тяжкие и особо тяжкие.
2. Тяжесть преступления определяется максимальным сроком наказания, предусмотренного санкцией статьи:
1) к преступлениям небольшой тяжести относятся умышленные и неосторожные преступления, за которые наказание в виде лишения свободы не предусмотрено;
2) к менее тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок не свыше пяти лет, а также неосторожные преступления, за которые предусмотрено наказание в виде лишения свободы на срок не свыше десяти лет;
3) к тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок более пяти лет, но не свыше десяти лет;
4) к особо тяжким преступлениям относятся умышленные преступления, за которые законом предусмотрено наказание в виде лишения свободы на срок свыше десяти лет или пожизненное лишение свободы.
 ",193b9b81-da66-469e-b7fc-cc37cb657c77
e009ef8f-2410-409a-9a35-a15c3d850298,How does the legal system ensure fairness between the parties in civil cases?,Гражданский процессуальный кодекс Кыргызской Республики,"Статья 10. Осуществление правосудия на основе состязательности и равноправия сторон
1. Правосудие по гражданским делам осуществляется на основе состязательности и равноправия сторон.
2. Суд, сохраняя объективность и беспристрастность, осуществляет руководство процессом, разъясняет лицам, участвующим в деле, их права и обязанности, создает условия для всестороннего и полного исследования доказательств, установления обстоятельств и правильного применения законодательства при разрешении гражданских дел.",455005c1-4cb9-4315-b3a1-92adeab42557
e009ef8f-2410-409a-9a35-a15c3d850298,What role does the court play in guiding the civil process according to the law?,Гражданский процессуальный кодекс Кыргызской Республики,"Статья 10. Осуществление правосудия на основе состязательности и равноправия сторон
1. Правосудие по гражданским делам осуществляется на основе состязательности и равноправия сторон.
2. Суд, сохраняя объективность и беспристрастность, осуществляет руководство процессом, разъясняет лицам, участвующим в деле, их права и обязанности, создает условия для всестороннего и полного исследования доказательств, установления обстоятельств и правильного применения законодательства при разрешении гражданских дел.",455005c1-4cb9-4315-b3a1-92adeab42557
e009ef8f-2410-409a-9a35-a15c3d850298,In what ways does the court facilitate the examination of evidence and application of legislation in civil matters?,Гражданский процессуальный кодекс Кыргызской Республики,"Статья 10. Осуществление правосудия на основе состязательности и равноправия сторон
1. Правосудие по гражданским делам осуществляется на основе состязательности и равноправия сторон.
2. Суд, сохраняя объективность и беспристрастность, осуществляет руководство процессом, разъясняет лицам, участвующим в деле, их права и обязанности, создает условия для всестороннего и полного исследования доказательств, установления обстоятельств и правильного применения законодательства при разрешении гражданских дел.",455005c1-4cb9-4315-b3a1-92adeab42557
74688912-792b-4de9-966a-ee2c76d91006,What can a lender demand if the borrower fails to meet their obligations under the loan agreement?,Гражданский Кодекс КР Часть II,"Статья 730. Обеспечение исполнения обязательств заемщика
 
При невыполнении заемщиком предусмотренных договором займа обязанностей по обеспечению возврата суммы займа, а также при утрате обеспечения или ухудшении его условий по обстоятельствам, за которые займодавец не отвечает, займодавец вправе потребовать от заемщика досрочного возврата суммы займа и уплаты причитающихся процентов, если иное не предусмотрено договором.
 ",3fdb1a03-dc6d-4c48-9d66-aa632b173948
